n,Projective,Affine,Ruzsa,Prime Gap,Max Prime Gap
9739,70,67,45,6,36
9743,70,69,49,4,36
9749,71,66,44,6,36
9767,72,62,44,18,36
9769,73,70,42,2,36
9781,66,63,39,12,36
9787,73,63,38,6,36
9791,69,67,41,4,36
9803,71,76,40,12,36
9811,69,68,39,8,36
9817,73,65,41,6,36
9829,69,65,40,12,36
9833,73,66,39,4,36
9839,71,65,44,6,36
9851,72,67,42,12,36
9857,70,76,50,6,36
9859,71,66,40,2,36
9871,65,67,41,12,36
9883,70,68,40,12,36
9887,71,64,43,4,36
9901,71,70,42,14,36
9907,77,68,49,6,36
9923,70,73,41,16,36
9929,71,63,43,6,36
9931,70,74,43,2,36
9941,68,69,49,10,36
9949,70,68,42,8,36
9967,70,74,43,18,36
9973,72,68,43,6,36
10007,69,69,38,34,36
10009,71,66,43,2,36
10037,67,67,45,28,36
10039,71,67,45,2,36
10061,70,67,41,22,36
10067,69,70,45,6,36
10069,72,67,40,2,36
10079,72,66,42,10,36
10091,67,70,46,12,36
10093,66,68,40,2,36
10099,67,64,41,6,36
10103,70,67,40,4,36
10111,72,74,50,8,36
10133,70,71,46,22,36
10139,74,69,45,6,36
10141,68,66,42,2,36
10151,73,68,44,10,36
10159,72,63,41,8,36
10163,73,70,44,4,36
10169,71,66,43,6,36
10177,67,70,38,8,36
10181,70,74,41,4,36
10193,72,72,43,12,36
10201,81,69,,8,36
10211,77,69,41,10,36
10223,72,72,42,12,36
10243,67,68,41,20,36
10247,69,68,44,4,36
10253,70,66,40,6,36
10259,70,66,57,6,36
10267,70,69,39,8,36
10271,70,65,41,4,36
10273,69,63,45,2,36
10289,68,67,41,16,36
10301,73,68,41,12,36
10303,71,67,43,2,36
10313,71,69,43,10,36
10321,68,67,39,8,36
10331,71,72,45,10,36
10333,68,71,41,2,36
10337,73,65,42,4,36
10343,72,67,47,6,36
10357,71,69,47,14,36
10369,71,63,44,12,36
10391,69,68,49,22,36
10399,72,64,53,8,36
10427,74,69,48,28,36
10429,74,69,44,2,36
10433,69,66,47,4,36
10453,68,66,40,20,36
10457,73,70,40,4,36
10459,69,66,38,2,36
10463,70,67,49,4,36
10477,70,66,45,14,36
10487,76,65,45,10,36
10499,67,66,48,12,36
10501,75,68,45,2,36
10513,72,64,46,12,36
10529,70,67,41,16,36
10531,72,70,37,2,36
10559,76,69,42,28,36
10567,74,65,43,8,36
10589,67,68,46,22,36
10597,67,69,44,8,36
10601,71,69,46,4,36
10607,78,74,45,6,36
10609,67,66,,2,36
10613,74,67,44,4,36
10627,73,69,46,14,36
10631,74,68,44,4,36
10639,69,67,47,8,36
10651,79,68,43,12,36
10657,67,68,43,6,36
10663,71,70,40,6,36
10667,71,69,43,4,36
10687,69,69,49,20,36
10691,69,65,46,4,36
10709,73,73,50,18,36
10711,73,67,47,2,36
10723,72,78,40,12,36
10729,70,66,42,6,36
10733,79,69,45,4,36
10739,75,64,45,6,36
10753,78,66,42,14,36
10771,73,64,44,18,36
10781,75,64,44,10,36
10789,67,67,39,8,36
10799,80,64,41,10,36
10831,74,67,38,32,36
10837,71,66,50,6,36
10847,73,67,46,10,36
10853,75,65,43,6,36
10859,71,67,49,6,36
10861,73,72,41,2,36
10867,75,77,54,6,36
10883,73,69,37,16,36
10889,74,68,40,6,36
10891,81,71,39,2,36
10903,68,76,39,12,36
10909,69,70,44,6,36
10937,75,67,44,28,36
10939,70,72,40,2,36
10949,70,66,46,10,36
10957,68,76,50,8,36
10973,72,67,45,16,36
10979,72,67,43,6,36
10987,66,71,48,8,36
10993,78,69,48,6,36
11003,75,71,46,10,36
11027,72,65,50,24,36
11047,69,69,42,20,36
11057,70,68,50,10,36
11059,74,68,45,2,36
11069,73,68,42,10,36
11071,71,67,44,2,36
11083,74,69,40,12,36
11087,73,67,47,4,36
11093,69,69,42,6,36
11113,71,67,41,20,36
11117,71,64,40,4,36
11119,67,69,39,2,36
11131,71,68,39,12,36
11149,73,72,41,18,36
11159,72,67,41,10,36
11161,78,70,40,2,36
11171,77,71,44,10,36
11173,69,69,48,2,36
11177,70,69,46,4,36
11197,73,68,41,20,36
11213,70,71,43,16,36
11239,87,68,47,26,36
11243,74,70,42,4,36
11251,66,64,42,8,36
11257,68,66,41,6,36
11261,72,72,44,4,36
11273,69,67,41,12,36
11279,74,66,46,6,36
11287,75,71,42,8,36
11299,75,68,43,12,36
11311,77,67,40,12,36
11317,72,70,40,6,36
11321,77,70,43,4,36
11329,74,69,42,8,36
11351,69,68,43,22,36
11353,70,71,40,2,36
11369,72,71,39,16,36
11383,71,69,41,14,36
11393,69,69,41,10,36
11399,70,67,48,6,36
11411,74,73,40,12,36
11423,69,68,45,12,36
11437,78,74,41,14,36
11443,76,68,45,6,36
11447,75,70,42,4,36
11449,68,67,,2,36
11467,71,65,42,18,36
11471,70,69,47,4,36
11483,74,73,43,12,36
11489,70,66,41,6,36
11491,72,74,39,2,36
11497,71,64,50,6,36
11503,71,74,45,6,36
11519,69,73,45,16,36
11527,71,67,45,8,36
11549,69,68,43,22,36
11551,72,67,38,2,36
11579,74,66,41,28,36
11587,74,73,43,8,36
11593,70,71,40,6,36
11597,75,66,50,4,36
11617,71,72,43,20,36
11621,73,66,49,4,36
11633,71,69,46,12,36
11657,73,68,44,24,36
11677,70,71,40,20,36
11681,77,71,39,4,36
11689,77,65,55,8,36
11699,72,66,46,10,36
11701,71,67,41,2,36
11717,71,67,42,16,36
11719,76,71,40,2,36
11731,68,71,46,12,36
11743,70,67,40,12,36
11777,74,73,50,34,36
11779,74,67,49,2,36
11783,85,68,45,4,36
11789,74,76,43,6,36
11801,74,69,43,12,36
11807,71,69,42,6,36
11813,72,82,41,6,36
11821,72,65,40,8,36
11827,73,70,46,6,36
11831,75,70,39,4,36
11833,74,70,45,2,36
11839,72,68,41,6,36
11863,69,74,43,24,36
11867,71,69,42,4,36
11881,72,66,,14,36
11887,69,76,40,6,36
11897,76,73,50,10,36
11903,72,66,46,6,36
11909,68,71,44,6,36
11923,79,70,45,14,36
11927,71,68,43,4,36
11933,73,71,49,6,36
11939,71,68,43,6,36
11941,70,68,41,2,36
11953,73,66,47,12,36
11959,73,67,40,6,36
11969,70,71,40,10,36
11971,77,68,40,2,36
11981,74,68,43,10,36
11987,72,71,50,6,36
12007,71,80,42,20,36
12011,73,77,42,4,36
12037,76,74,46,26,36
12041,75,67,52,4,36
12043,71,66,45,2,36
12049,70,71,42,6,36
12071,76,72,42,22,36
12073,74,66,40,2,36
12097,67,68,39,24,36
12101,78,74,46,4,36
12107,74,74,48,6,36
12109,73,70,44,2,36
12113,74,71,42,4,36
12119,74,66,52,6,36
12143,75,71,47,24,36
12149,71,68,43,6,36
12157,79,70,41,8,36
12161,74,67,47,4,36
12163,83,66,45,2,36
12167,73,65,,4,36
12197,71,71,41,30,36
12203,72,67,47,6,36
12211,68,66,43,8,36
12227,70,70,45,16,36
12239,73,65,48,12,36
12241,70,74,42,2,36
12251,75,66,41,10,36
12253,72,72,50,2,36
12263,70,67,53,10,36
12269,79,69,52,6,36
12277,74,70,44,8,36
12281,73,67,41,4,36
12289,72,71,45,8,36
12301,69,69,45,12,36
12323,71,72,41,22,36
12329,73,67,42,6,36
12343,74,68,44,14,36
12347,81,70,45,4,36
12373,70,67,50,26,36
12377,75,65,45,4,36
12379,69,74,44,2,36
12391,74,67,40,12,36
12401,71,73,45,10,36
12409,70,72,41,8,36
12413,70,77,40,4,36
12421,76,67,44,8,36
12433,71,64,38,12,36
12437,74,69,43,4,36
12451,82,73,41,14,36
12457,74,73,43,6,36
12473,70,69,46,16,36
12479,78,69,42,6,36
12487,72,72,42,8,36
12491,71,72,48,4,36
12497,73,72,39,6,36
12503,73,71,42,6,36
12511,71,68,41,8,36
12517,70,67,39,6,36
12527,76,84,46,10,36
12539,72,69,46,12,36
12541,77,68,41,2,36
12547,72,72,47,6,36
12553,69,73,44,6,36
12569,73,71,45,16,36
12577,72,78,46,8,36
12583,69,69,44,6,36
12589,71,67,40,6,36
12601,72,68,44,12,36
12611,74,72,42,10,36
12613,75,70,41,2,36
12619,75,72,46,6,36
12637,71,68,44,18,36
12641,75,72,46,4,36
12647,80,67,43,6,36
12653,72,83,43,6,36
12659,73,66,45,6,36
12671,74,68,44,12,36
12689,73,87,45,18,36
12697,73,73,44,8,36
12703,69,81,41,6,36
12713,77,68,43,10,36
12721,72,71,41,8,36
12739,76,70,42,18,36
12743,75,70,43,4,36
12757,72,69,43,14,36
12763,75,72,40,6,36
12769,69,76,,6,36
12781,77,77,42,12,36
12791,73,73,44,10,36
12799,78,69,42,8,36
12809,80,69,45,10,36
12821,72,66,50,12,36
12823,69,65,45,2,36
12829,72,72,39,6,36
12841,69,68,46,12,36
12853,73,70,43,12,36
12889,75,71,45,36,36
12893,72,71,53,4,36
12899,75,71,46,6,36
12907,73,75,44,8,36
12911,70,68,43,4,36
12917,79,71,49,6,36
12919,76,75,45,2,36
12923,79,69,44,4,36
12941,76,74,43,18,36
12953,72,72,46,12,36
12959,72,65,41,6,36
12967,72,69,41,8,36
12973,78,80,46,6,36
12979,76,66,42,6,36
12983,74,70,42,4,36
13001,69,75,48,18,36
13003,73,67,49,2,36
13007,71,71,46,4,36
13009,73,70,43,2,36
13033,72,71,47,24,36
13037,77,69,46,4,36
13043,70,75,43,6,36
13049,76,70,44,6,36
13063,74,77,43,14,36
13093,71,71,46,30,36
13099,76,68,46,6,36
13103,74,71,44,4,36
13109,72,70,45,6,36
13121,77,78,41,12,36
13127,74,70,45,6,36
13147,76,67,42,20,36
13151,77,72,45,4,36
13159,72,73,44,8,36
13163,72,68,43,4,36
13171,77,74,43,8,36
13177,71,75,44,6,36
13183,71,69,48,6,36
13187,79,76,48,4,36
13217,73,69,50,30,36
13219,75,67,45,2,36
13229,77,69,41,10,36
13241,81,76,41,12,36
13249,75,69,41,8,36
13259,80,69,44,10,36
13267,68,77,48,8,36
13291,75,71,45,24,36
13297,73,82,43,6,36
13309,81,72,47,12,36
13313,75,70,44,4,36
13327,71,69,40,14,36
13331,73,67,43,4,36
13337,76,77,43,6,36
13339,77,67,43,2,36
13367,71,69,61,28,36
13381,75,71,46,14,36
13397,74,72,46,16,36
13399,74,68,46,2,36
13411,70,68,39,12,36
13417,84,70,50,6,36
13421,73,68,48,4,36
13441,80,66,42,20,36
13451,75,72,43,10,36
13457,77,69,46,6,36
13463,79,70,47,6,36
13469,81,72,45,6,36
13477,84,69,43,8,36
13487,72,66,45,10,36
13499,76,78,46,12,36
13513,74,71,43,14,36
13523,74,67,49,10,36
13537,73,73,50,14,36
13553,75,71,47,16,36
13567,71,77,48,14,36
13577,75,70,41,10,36
13591,70,69,45,14,36
13597,75,75,41,6,36
13613,75,73,46,16,36
13619,73,67,44,6,36
13627,74,71,40,8,36
13633,79,69,48,6,36
13649,77,71,43,16,36
13669,79,69,47,20,36
13679,75,72,54,10,36
13681,70,81,49,2,36
13687,72,67,41,6,36
13691,77,67,43,4,36
13693,75,71,39,2,36
13697,74,70,43,4,36
13709,75,73,45,12,36
13711,75,75,47,2,36
13721,76,69,43,10,36
13723,75,70,43,2,36
13729,73,70,49,6,36
13751,81,75,42,22,36
13757,80,73,47,6,36
13759,74,70,44,2,36
13763,77,70,43,4,36
13781,72,68,47,18,36
13789,78,72,48,8,36
13799,74,70,51,10,36
13807,71,71,48,8,36
13829,71,77,41,22,36
13831,75,73,42,2,36
13841,75,68,44,10,36
13859,78,66,70,18,36
13873,74,68,44,14,36
13877,73,71,46,4,36
13879,73,72,46,2,36
13883,70,73,50,4,36
13901,80,76,45,18,36
13903,74,70,43,2,36
13907,75,73,43,4,36
13913,71,69,47,6,36
13921,78,75,52,8,36
13931,79,70,47,10,36
13933,73,73,42,2,36
13963,73,76,43,30,36
13967,76,70,40,4,36
13997,72,69,44,30,36
13999,76,69,47,2,36
14009,72,68,42,10,36
14011,77,75,40,2,36
14029,74,77,49,18,36
14033,74,70,49,4,36
14051,71,74,43,18,36
14057,75,75,47,6,36
14071,74,65,40,14,36
14081,81,72,40,10,36
14083,71,69,47,2,36
14087,77,81,62,4,36
14107,71,74,44,20,36
14143,79,71,46,36,36
14149,72,69,44,6,36
14153,74,75,49,4,36
14159,82,73,43,6,36
14173,77,68,44,14,36
14177,80,73,42,4,36
14197,69,77,45,20,36
14207,81,72,45,10,36
14221,74,79,43,14,36
14243,77,67,57,22,36
14249,73,70,50,6,36
14251,74,73,45,2,36
14281,74,69,47,30,36
14293,78,70,49,12,36
14303,72,72,43,10,36
14321,71,68,53,18,36
14323,72,66,43,2,36
14327,72,68,44,4,36
14341,74,70,51,14,36
14347,73,72,46,6,36
14369,76,72,47,22,36
14387,75,74,43,18,36
14389,73,71,45,2,36
14401,78,78,46,12,36
14407,73,69,52,6,36
14411,74,69,47,4,36
14419,74,68,40,8,36
14423,76,71,42,4,36
14431,70,67,43,8,36
14437,73,75,45,6,36
14447,75,72,44,10,36
14449,77,67,45,2,36
14461,83,70,39,12,36
14479,81,71,44,18,36
14489,80,73,42,10,36
14503,80,71,47,14,36
14519,78,72,47,16,36
14533,71,76,46,14,36
14537,86,70,51,4,36
14543,76,72,46,6,36
14549,79,71,63,6,36
14551,79,72,43,2,36
14557,77,69,43,6,36
14561,75,74,41,4,36
14563,78,74,44,2,36
14591,76,69,44,28,36
14593,74,70,47,2,36
14621,77,70,46,28,36
14627,79,71,46,6,36
14629,71,79,44,2,36
14633,76,73,47,4,36
14639,77,81,45,6,36
14641,70,71,,2,36
14653,74,69,52,12,36
14657,80,73,46,4,36
14669,74,70,41,12,36
14683,73,68,52,14,36
14699,72,68,44,16,36
14713,75,70,44,14,36
14717,78,84,50,4,36
14723,73,69,53,6,36
14731,72,68,46,8,36
14737,72,71,49,6,36
14741,78,68,44,4,36
14747,75,74,44,6,36
14753,79,69,47,6,36
14759,78,74,51,6,36
14767,79,76,46,8,36
14771,75,75,41,4,36
14779,75,70,54,8,36
14783,75,75,45,4,36
14797,77,79,48,14,36
14813,75,73,49,16,36
14821,74,75,44,8,36
14827,79,68,40,6,36
14831,77,70,48,4,36
14843,73,71,58,12,36
14851,80,74,40,8,36
14867,77,71,45,16,36
14869,75,71,60,2,36
14879,73,70,47,10,36
14887,72,76,43,8,36
14891,78,70,41,4,36
14897,77,69,50,6,36
14923,74,72,43,26,36
14929,73,70,45,6,36
14939,73,77,46,10,36
14947,74,74,49,8,36
14951,86,76,42,4,36
14957,75,77,45,6,36
14969,73,75,49,12,36
14983,75,72,46,14,36
15013,76,71,50,30,36
15017,73,71,47,4,36
15031,70,71,41,14,36
15053,72,68,43,22,36
15061,74,70,42,8,36
15073,76,72,46,12,36
15077,73,67,60,4,36
15083,78,70,42,6,36
15091,72,74,41,8,36
15101,77,71,44,10,36
15107,84,76,46,6,36
15121,84,77,48,14,36
15131,77,74,47,10,36
15137,72,71,42,6,36
15139,77,69,51,2,36
15149,81,73,44,10,36
15161,74,78,49,12,36
15173,84,72,42,12,36
15187,76,75,41,14,36
15193,76,72,44,6,36
15199,79,76,43,6,36
15217,72,74,46,18,36
15227,73,70,48,10,36
15233,76,68,49,6,36
15241,74,76,46,8,36
15259,72,70,50,18,36
15263,80,72,42,4,36
15269,78,70,47,6,36
15271,72,70,47,2,36
15277,74,74,42,6,36
15287,74,74,42,10,36
15289,77,70,45,2,36
15299,78,69,50,10,36
15307,77,74,43,8,36
15313,79,68,45,6,36
15319,71,71,45,6,36
15329,73,69,43,10,36
15331,73,69,43,2,36
15349,71,71,45,18,36
15359,75,71,44,10,36
15361,74,69,45,2,36
15373,75,77,46,12,36
15377,75,72,51,4,36
15383,74,69,47,6,36
15391,78,73,41,8,36
15401,81,69,45,10,36
15413,73,71,47,12,36
15427,73,75,45,14,36
15439,73,77,49,12,36
15443,75,71,46,4,36
15451,72,72,45,8,36
15461,79,70,48,10,36
15467,74,76,53,6,36
15473,76,70,48,6,36
15493,73,79,45,20,36
15497,81,72,46,4,36
15511,72,70,48,14,36
15527,75,72,43,16,36
15541,80,72,47,14,36
15551,77,68,46,10,36
15559,76,73,46,8,36
15569,76,70,44,10,36
15581,82,74,42,12,36
15583,85,76,54,2,36
15601,76,75,47,18,36
15607,73,72,48,6,36
15619,79,67,51,12,36
15625,90,70,,6,36
15629,75,82,46,4,36
15641,75,68,43,12,36
15643,81,71,48,2,36
15647,76,75,50,4,36
15649,72,75,48,2,36
15661,72,72,40,12,36
15667,75,70,50,6,36
15671,73,73,48,4,36
15679,81,74,49,8,36
15683,80,74,48,4,36
15727,75,77,48,44,44
15731,84,72,48,4,44
15733,74,73,42,2,44
15737,81,70,51,4,44
15739,72,72,45,2,44
15749,75,72,49,10,44
15761,78,72,46,12,44
15767,78,74,52,6,44
15773,78,71,51,6,44
15787,70,73,47,14,44
15791,74,71,47,4,44
15797,86,68,47,6,44
15803,79,74,51,6,44
15809,75,77,50,6,44
15817,74,69,43,8,44
15823,78,73,44,6,44
15859,75,71,52,36,44
15877,72,87,51,18,44
15881,80,74,53,4,44
15887,76,71,55,6,44
15889,74,72,50,2,44
15901,74,73,50,12,44
15907,79,74,43,6,44
15913,73,75,44,6,44
15919,77,72,41,6,44
15923,86,76,42,4,44
15937,80,74,43,14,44
15959,72,75,51,22,44
15971,78,74,48,12,44
15973,74,73,43,2,44
15991,75,72,41,18,44
16001,76,73,42,10,44
16007,77,83,47,6,44
16033,75,73,46,26,44
16057,80,69,52,24,44
16061,75,76,43,4,44
16063,75,71,42,2,44
16067,73,74,45,4,44
16069,81,70,43,2,44
16073,77,74,47,4,44
16087,72,71,43,14,44
16091,74,72,46,4,44
16097,78,75,47,6,44
16103,77,71,47,6,44
16111,75,71,45,8,44
16127,78,68,44,16,44
16129,69,67,,2,44
16139,80,72,53,10,44
16141,75,77,44,2,44
16183,74,72,47,42,44
16187,76,78,53,4,44
16189,76,71,47,2,44
16193,77,71,50,4,44
16217,75,71,48,24,44
16223,88,75,46,6,44
16229,75,69,47,6,44
16231,76,81,45,2,44
16249,76,70,44,18,44
16253,87,74,49,4,44
16267,71,78,53,14,44
16273,72,76,46,6,44
16301,81,73,46,28,44
16319,76,69,51,18,44
16333,81,78,45,14,44
16339,78,78,48,6,44
16349,75,75,44,10,44
16361,80,74,45,12,44
16363,75,73,43,2,44
16369,76,74,40,6,44
16381,71,72,44,12,44
16384,101,100,,3,44
16411,78,76,48,27,44
16417,72,73,46,6,44
16421,76,68,44,4,44
16427,78,80,51,6,44
16433,72,75,43,6,44
16447,72,78,56,14,44
16451,80,74,46,4,44
16453,75,73,43,2,44
16477,78,72,50,24,44
16481,78,69,44,4,44
16487,73,75,50,6,44
16493,82,75,43,6,44
16519,76,74,51,26,44
16529,90,75,53,10,44
16547,76,74,48,18,44
16553,77,73,44,6,44
16561,77,71,44,8,44
16567,73,70,44,6,44
16573,71,69,43,6,44
16603,77,70,48,30,44
16607,73,71,54,4,44
16619,76,81,45,12,44
16631,87,70,48,12,44
16633,75,75,41,2,44
16649,78,79,55,16,44
16651,78,72,47,2,44
16657,77,74,43,6,44
16661,83,78,45,4,44
16673,77,76,46,12,44
16691,77,73,47,18,44
16693,73,73,43,2,44
16699,80,74,47,6,44
16703,75,75,44,4,44
16729,75,75,47,26,44
16741,74,71,45,12,44
16747,75,80,41,6,44
16759,76,70,43,12,44
16763,76,71,48,4,44
16787,76,76,49,24,44
16807,76,69,,20,44
16811,76,73,44,4,44
16823,82,74,43,12,44
16829,78,71,49,6,44
16831,76,74,45,2,44
16843,76,74,46,12,44
16871,81,74,43,28,44
16879,74,74,42,8,44
16883,77,74,50,4,44
16889,84,75,44,6,44
16901,73,73,52,12,44
16903,74,73,47,2,44
16921,76,73,47,18,44
16927,74,71,46,6,44
16931,81,83,47,4,44
16937,73,83,48,6,44
16943,76,70,44,6,44
16963,75,76,45,20,44
16979,79,71,49,16,44
16981,82,72,46,2,44
16987,76,69,47,6,44
16993,79,72,43,6,44
17011,75,74,41,18,44
17021,76,69,44,10,44
17027,82,76,54,6,44
17029,73,72,46,2,44
17033,80,75,48,4,44
17041,80,70,45,8,44
17047,81,70,47,6,44
17053,79,74,49,6,44
17077,74,69,45,24,44
17093,79,74,49,16,44
17099,77,70,47,6,44
17107,75,70,45,8,44
17117,84,73,49,10,44
17123,81,80,43,6,44
17137,78,72,47,14,44
17159,80,78,50,22,44
17161,72,72,,2,44
17167,77,74,43,6,44
17183,77,82,48,16,44
17189,82,72,48,6,44
17191,79,75,52,2,44
17203,75,71,46,12,44
17207,75,76,48,4,44
17209,73,80,45,2,44
17231,77,81,43,22,44
17239,72,75,45,8,44
17257,76,75,47,18,44
17291,75,67,47,34,44
17293,76,72,49,2,44
17299,74,75,47,6,44
17317,73,75,44,18,44
17321,88,72,51,4,44
17327,76,75,50,6,44
17333,79,76,48,6,44
17341,76,70,47,8,44
17351,75,77,49,10,44
17359,76,70,45,8,44
17377,75,77,47,18,44
17383,75,73,44,6,44
17387,78,77,47,4,44
17389,76,71,49,2,44
17393,76,80,50,4,44
17401,79,83,47,8,44
17417,73,71,48,16,44
17419,80,70,45,2,44
17431,79,80,44,12,44
17443,78,80,49,12,44
17449,73,74,47,6,44
17467,82,76,43,18,44
17471,83,84,47,4,44
17477,79,69,44,6,44
17483,80,71,48,6,44
17489,75,67,47,6,44
17491,81,70,44,2,44
17497,74,74,42,6,44
17509,74,73,48,12,44
17519,76,73,47,10,44
17539,80,73,54,20,44
17551,73,79,45,12,44
17569,76,72,48,18,44
17573,79,73,46,4,44
17579,76,76,44,6,44
17581,90,74,47,2,44
17597,86,71,48,16,44
17599,77,74,42,2,44
17609,80,74,50,10,44
17623,75,71,46,14,44
17627,85,73,49,4,44
17657,81,73,44,30,44
17659,74,74,49,2,44
17669,77,69,48,10,44
17681,73,72,46,12,44
17683,76,68,45,2,44
17707,76,78,49,24,44
17713,73,73,46,6,44
17729,78,70,60,16,44
17737,78,69,42,8,44
17747,76,76,50,10,44
17749,81,75,50,2,44
17761,77,77,51,12,44
17783,80,71,47,22,44
17789,75,70,45,6,44
17791,81,74,44,2,44
17807,74,72,46,16,44
17827,78,78,54,20,44
17837,79,73,46,10,44
17839,78,73,46,2,44
17851,76,72,45,12,44
17863,77,71,48,12,44
17881,76,77,49,18,44
17891,76,76,47,10,44
17903,73,73,51,12,44
17909,78,70,62,6,44
17911,79,75,49,2,44
17921,78,72,48,10,44
17923,78,75,45,2,44
17929,77,73,46,6,44
17939,78,74,51,10,44
17957,74,71,50,18,44
17959,78,74,44,2,44
17971,78,74,48,12,44
17977,77,76,47,6,44
17981,79,75,62,4,44
17987,82,71,48,6,44
17989,80,73,52,2,44
18013,77,71,54,24,44
18041,73,72,49,28,44
18043,84,72,47,2,44
18047,81,82,42,4,44
18049,80,73,42,2,44
18059,76,78,46,10,44
18061,77,71,40,2,44
18077,78,73,57,16,44
18089,89,72,54,12,44
18097,74,74,43,8,44
18119,83,71,47,22,44
18121,75,72,49,2,44
18127,82,72,42,6,44
18131,75,74,53,4,44
18133,77,73,39,2,44
18143,83,78,44,10,44
18149,77,74,43,6,44
18169,74,77,43,20,44
18181,75,74,49,12,44
18191,75,80,48,10,44
18199,78,79,44,8,44
18211,76,74,48,12,44
18217,81,79,40,6,44
18223,75,79,48,6,44
18229,79,68,41,6,44
18233,80,74,45,4,44
18251,77,74,55,18,44
18253,86,74,46,2,44
18257,83,76,49,4,44
18269,76,69,46,12,44
18287,78,74,50,18,44
18289,75,73,50,2,44
18301,77,72,43,12,44
18307,73,73,53,6,44
18311,74,74,49,4,44
18313,77,74,48,2,44
18329,76,79,56,16,44
18341,76,74,51,12,44
18353,73,71,53,12,44
18367,81,74,46,14,44
18371,78,71,51,4,44
18379,78,71,45,8,44
18397,74,74,47,18,44
18401,77,77,50,4,44
18413,81,74,52,12,44
18427,75,71,47,14,44
18433,72,74,47,6,44
18439,78,74,44,6,44
18443,78,78,47,4,44
18451,75,77,47,8,44
18457,83,72,47,6,44
18461,81,77,47,4,44
18481,79,77,50,20,44
18493,73,71,42,12,44
18503,75,71,43,10,44
18517,75,73,47,14,44
18521,83,76,48,4,44
18523,80,76,44,2,44
18539,76,74,44,16,44
18541,77,70,48,2,44
18553,73,74,45,12,44
18583,74,73,45,30,44
18587,74,73,44,4,44
18593,76,78,46,6,44
18617,78,73,47,24,44
18637,81,71,43,20,44
18661,74,76,46,24,44
18671,92,76,48,10,44
18679,77,77,49,8,44
18691,86,83,45,12,44
18701,81,69,48,10,44
18713,76,75,47,12,44
18719,79,70,46,6,44
18731,79,73,53,12,44
18743,83,71,46,12,44
18749,75,76,52,6,44
18757,78,75,48,8,44
18769,76,69,,12,44
18773,79,75,54,4,44
18787,82,77,47,14,44
18793,81,81,47,6,44
18797,75,74,43,4,44
18803,76,73,54,6,44
18839,76,74,48,36,44
18859,76,73,48,20,44
18869,77,70,47,10,44
18899,83,71,48,30,44
18911,78,74,43,12,44
18913,76,76,42,2,44
18917,77,80,48,4,44
18919,77,71,46,2,44
18947,75,76,45,28,44
18959,77,73,46,12,44
18973,80,71,53,14,44
18979,81,71,45,6,44
19001,79,73,52,22,44
19009,80,75,41,8,44
19013,80,74,45,4,44
19031,76,80,52,18,44
19037,76,81,50,6,44
19051,73,74,49,14,44
19069,78,72,43,18,44
19073,76,80,51,4,44
19079,79,74,46,6,44
19081,74,78,48,2,44
19087,74,72,46,6,44
19121,76,80,46,34,44
19139,75,79,46,18,44
19141,82,72,45,2,44
19157,80,77,43,16,44
19163,77,74,50,6,44
19181,78,75,45,18,44
19183,76,74,50,2,44
19207,76,76,43,24,44
19211,75,73,49,4,44
19213,81,84,53,2,44
19219,80,75,46,6,44
19231,75,80,56,12,44
19237,78,79,49,6,44
19249,78,84,48,12,44
19259,93,71,51,10,44
19267,74,76,42,8,44
19273,79,72,44,6,44
19289,78,75,49,16,44
19301,79,74,48,12,44
19309,76,72,46,8,44
19319,84,76,44,10,44
19321,77,81,,2,44
19333,78,75,46,12,44
19373,77,71,46,40,44
19379,75,78,46,6,44
19381,81,69,41,2,44
19387,76,79,46,6,44
19391,76,76,50,4,44
19403,82,79,52,12,44
19417,81,75,45,14,44
19421,76,73,49,4,44
19423,80,74,46,2,44
19427,81,78,48,4,44
19429,77,72,44,2,44
19433,76,81,45,4,44
19441,73,74,47,8,44
19447,81,93,49,6,44
19457,79,77,53,10,44
19463,76,79,44,6,44
19469,78,71,51,6,44
19471,74,72,50,2,44
19477,79,80,48,6,44
19483,83,78,49,6,44
19489,82,74,51,6,44
19501,76,75,49,12,44
19507,76,85,45,6,44
19531,75,70,44,24,44
19541,79,73,57,10,44
19543,78,72,47,2,44
19553,80,72,42,10,44
19559,79,71,46,6,44
19571,81,72,51,12,44
19577,77,78,48,6,44
19583,87,73,48,6,44
19597,76,78,46,14,44
19603,83,73,48,6,44
19609,76,76,49,6,44
19661,82,78,47,52,52
19681,78,74,48,20,52
19683,89,80,,2,52
19687,81,77,51,4,52
19697,79,74,48,10,52
19699,80,77,46,2,52
19709,75,85,55,10,52
19717,79,74,54,8,52
19727,82,74,50,10,52
19739,81,72,44,12,52
19751,81,77,53,12,52
19753,75,72,49,2,52
19759,78,71,49,6,52
19763,77,75,45,4,52
19777,85,81,43,14,52
19793,79,72,51,16,52
19801,77,75,45,8,52
19813,85,76,49,12,52
19819,84,74,51,6,52
19841,76,75,47,22,52
19843,84,81,46,2,52
19853,75,76,49,10,52
19861,76,78,47,8,52
19867,78,87,46,6,52
19889,76,74,48,22,52
19891,76,76,49,2,52
19913,84,75,43,22,52
19919,79,70,52,6,52
19927,77,70,45,8,52
19937,78,78,49,10,52
19949,77,74,44,12,52
19961,81,74,51,12,52
19963,85,73,47,2,52
19973,76,74,46,10,52
19979,78,75,47,6,52
19991,80,85,54,12,52
