m,Projective,Affine,Ruzsa
195,7.38337,6.74751,5.17113
196,7.63334,6.78584,4.77762
197,8.03439,6.37209,4.71115
198,6.83777,6.40407,3.45181
199,7.12504,5.82391,1.5057
200,6.723,3.847,1.68964
201,4.71195,4.26668,2.35962
202,5.50318,4.61459,1.9875
203,5.55127,4.96212,2.76264
204,5.9798,5.23381,3.14433
205,6.67955,5.38036,2.89359
206,7.20614,5.7951,3.5179
207,6.7951,6.11944,3.53747
208,6.74643,6.79115,3.12687
209,7.22042,7.08665,4.0122
210,7.6167,6.36798,4.43736
211,8.28592,6.96079,1.35745
212,7.27824,4.03366,2.05953
213,4.67573,4.64693,2.67882
214,5.05503,5.21542,3.20152
215,5.8589,5.59608,4.01659
216,6.28352,6.0381,4.72056
217,7.22393,6.26082,4.55942
218,6.48877,6.51241,4.00467
219,6.46294,6.45118,3.61662
220,6.69271,6.23845,3.97685
221,7.2946,6.78982,4.77095
222,7.4563,6.82798,4.23866
223,8.10002,7.1621,4.60128
224,8.02315,7.49134,4.50968
225,7.82265,7.52586,4.47336
226,7.94267,7.97707,5.129
227,7.65324,8,4.77939
228,7.09957,8.34345,4.3932
229,7.23436,7.83716,4.55179
230,7.37026,7.41743,4.89114
231,7.27025,6.62531,4.13881
232,7.19119,6.69576,4.33358
233,7.22135,6.30858,3.75995
234,7.24904,6.46319,3.6698
235,7.54011,6.92107,3.49622
236,7.12449,7.12012,3.90519
237,7.47876,7.83194,4.07941
238,7.81095,6.93075,3.92523
239,8.01948,7.43359,4.71385
240,8.43791,7.40593,3.95551
241,8.83626,7.43416,2.94538
242,8.28864,6.06993,3.23652
243,7.06781,6.49419,3.45042
244,6.82918,6.07985,3.71059
245,6.97479,6.44183,4.16396
246,7.09625,6.17506,4.67657
247,7.65088,6.64193,5.0062
248,7.41114,7.12867,4.60731
249,7.22118,7.17775,4.82383
250,7.68615,7.18937,5.48006
251,8,7.08403,4.45994
252,7.33901,7.42486,4.69856
253,7.55143,6.82933,5.1452
254,7.65268,7.68922,5.75415
255,8.03442,8.04454,6.28932
256,7.79041,7.82466,5.51647
257,7.45842,6.73015,4.90676
258,7.75012,6.06152,5.5203
259,7.08335,6.85917,5.36641
260,7.72238,6.88343,6.22845
261,7.70176,6.94095,5.63947
262,7.77176,6.63947,4.80747
263,8.06079,6.67794,4.46954
264,7.7111,6.51796,4.35409
265,7.88718,6.99031,4.35657
266,8.17254,7.60689,4.67071
267,8.06371,8.08109,5.12789
268,7.8289,7.61951,4.62574
269,7.60375,7.10689,4.04529
270,7.30626,6.87455,4.0094
271,6.93183,6.76147,2.99627
272,7.41731,7.00943,3.75384
273,7.31974,7.5193,4.29942
274,8.08272,7.21732,4.36321
275,7.75292,7.64069,4.20672
276,7.64762,7.43716,4.06251
277,8.56751,6.5171,4.2217
278,7.46719,6.87457,4.18437
279,7.84875,6.93016,4.64075
280,8.6681,7.0806,4.86367
281,8.57386,7.23368,4.83338
282,8.42551,7.39119,3.87772
283,7.50227,6.86597,4.20438
284,7.49141,6.19251,3.78044
285,6.50763,6.62435,3.55374
286,7.16851,6.97133,3.85819
287,7.84055,7.81906,4.2174
288,7.39886,7.22429,4.02817
289,7.42763,6.79794,4.80289
290,7.95568,7.42612,4.97193
291,8.04947,7.72099,4.88639
292,8.28535,7.95775,5.13592
293,9.03521,6.71867,1.32552
294,8.52671,5.6738,1.83566
295,5.47107,5.77345,2.28
296,6.30706,5.46085,2.83452
297,7.10519,5.86773,3.6197
298,6.5965,6.44383,3.77899
299,6.52607,6.58933,3.71539
300,7.29025,6.26032,3.96453
301,7.69129,6.68894,4.22399
302,7.4461,7.36463,4.97812
303,7.7391,7.54611,4.50544
304,7.96284,8.31605,4.85121
305,8.03704,7.59792,4.85337
306,8.05034,7.94967,4.32965
307,8.29279,7.56887,4.26579
308,8.94148,7.49875,4.0329
309,8.01495,7.33462,4.17382
310,8.87046,7.63598,4.22884
311,8.45248,7.24846,4.33895
312,8.507,7.91449,3.96429
313,8.46593,8.21647,3.9547
314,7.6848,8.50041,4.32598
315,7.90881,8.37156,4.65664
316,8.33297,8.06332,4.5614
317,8.0178,6.73237,2.5958
318,7.96936,4.87383,2.90636
319,5.18955,5.38559,3.40057
320,5.49245,5.97452,3.9035
321,5.93017,6.46065,4.21774
322,6.08071,6.5733,3.6637
323,6.06625,7.21526,3.46909
324,6.5886,7.50197,3.90783
325,6.93083,7.17458,3.45529
326,7.78781,7.40308,3.72527
327,7.87307,7.53795,3.78954
328,7.64863,7.60181,4.06482
329,7.79757,7.35423,4.11233
330,7.35468,7.35623,4.76316
331,7.1312,7.17289,4.35646
332,7.5836,7.28628,4.85936
333,7.56183,8.09232,4.12768
334,7.62445,8.47888,4.59296
335,8.25698,7.03659,5.10456
336,9.07952,6.94529,3.84943
337,8.13073,6.98939,3.69233
338,8.39417,6.74028,4.27257
339,7.98641,7.51395,4.47646
340,7.33651,6.95646,4.7568
341,7.4584,7.40743,5.3618
342,7.76356,7.04329,5.3132
343,8.01045,7.38415,5.83239
344,8.4214,7.50037,6.53
345,8.90626,7.45889,5.42379
346,9.44688,7.75453,4.33789
347,9.36262,7.61526,4.3763
348,8.25451,7.85003,5.14872
349,8.79124,7.97947,4.11161
350,8.41692,7.22748,4.7653
351,8.24499,7.67945,5.18791
352,8.4305,8.17737,4.15377
353,8.87502,7.48734,4.32967
354,8.51628,7.18737,4.446
355,8.32147,7.0158,4.64304
356,8.94237,7.13613,5.18238
357,7.81953,7.82955,5.14492
358,8.39308,7.82719,5.38123
359,8.60166,7.80347,4.70351
360,9.46897,7.95597,4.3752
361,10.2978,7.42257,4.93119
362,9.93182,7.46368,5.17371
363,8.44253,7.85214,4.27587
364,7.84694,7.86519,4.69094
365,8.62941,7.51154,5.0375
366,8.21375,8.42064,5.48093
367,8.8478,8.27448,4.6314
368,9.13373,7.96389,4.99036
369,8.57386,8.93195,4.28916
370,8.86429,8.33441,4.93973
371,8.57208,9.21968,4.03815
372,7.84069,7.90935,4.416
373,7.85482,7.32255,4.2006
374,8.37724,7.08584,4.7318
375,7.76847,6.89132,4.93919
376,7.90762,7.0908,5.67177
377,7.87807,7.7941,5.97978
378,7.96757,7.92568,6.17343
379,8.08357,7.35232,5.24607
380,8.34559,7.48423,5.32948
381,8.38492,7.18186,4.94681
382,8.38523,7.60315,5.05571
383,8.35884,6.92022,3.83908
384,8.79339,7.16317,4.20664
385,8.99468,7.80642,4.23235
386,9.17378,8.41425,4.56324
387,9.66461,8.09368,5.0432
388,9.46466,8.03421,4.57465
389,9.22638,7.41384,4.38981
390,8.98294,6.53683,5.29622
391,8.08095,6.94662,5.80654
392,8.44166,7.21564,5.23651
393,8.68372,7.88443,5.27845
394,9.19485,8.05441,6.1985
395,8.69183,8.43047,6.90207
396,8.97287,8.95995,6.34374
397,9.2604,8.46557,3.97328
398,8.98972,7.42094,4.71257
399,8.63222,8.00767,4.21905
400,8.59867,7.6239,4.40551
401,7.98473,7.0165,3.28905
402,8.29961,6.93418,3.9284
403,7.70517,7.56985,4.30588
404,8.19955,7.07809,4.69686
405,8.60499,6.98116,5.35641
406,8.77336,7.50784,4.4505
407,8.64212,7.93735,4.10795
408,9.20055,7.48908,4.92681
409,9.24132,7.76441,3.90001
410,8.56756,6.30952,4.33142
411,8.74511,6.61899,4.05774
412,7.42615,7.04445,3.76355
413,7.93828,7.20202,4.15651
414,7.89533,7.739,4.53449
415,8.14622,8.00614,4.72936
416,8.42179,7.82234,5.15575
417,8.97794,7.71037,4.7804
418,8.62731,8.39165,4.40116
419,8.84759,8.90245,4.28443
420,8.7981,7.42516,4.23204
421,8.89079,7.31171,4.10433
422,8.76157,6.97711,4.44282
423,7.67964,7.48706,4.40473
424,7.76089,7.70443,5.10025
425,7.86933,8.1547,5.69104
426,8.72791,8.56617,5.23284
427,8.23873,9.1316,4.32045
428,8.07382,8.45143,4.56287
429,8.56927,8.95953,4.72061
430,8.63911,9.23522,4.84003
431,9.28327,9.11731,5.28178
432,8.52037,7.47203,4.54708
433,9.37399,7.91648,4.47229
434,8.64485,8.32994,4.53522
435,8.65741,8.13937,5.00581
436,8.95668,8.3623,4.33462
437,8.91706,9.28397,5.13081
438,9.68003,10.0304,4.56258
439,9.59693,8.29709,4.26215
440,9.44687,7.50607,3.81541
441,8.96644,7.47145,4.20714
