m,Projective,Affine,Ruzsa
5284,13.9259,12.2071,6.908
5285,14.4312,12.3977,6.5759
5286,14.5964,12.1343,6.81872
5287,13.3364,12.6421,7.46271
5288,13.8969,12.8903,7.74565
5289,14.0694,12.9797,7.9893
5290,14.3036,12.6746,8.81557
5291,15.0874,12.9645,9.48649
5292,13.4884,13.279,9.20964
5293,14.2237,13.4206,8.91351
5294,13.6719,13.7444,9.43162
5295,13.7252,13.4597,9.06092
5296,13.7927,14.1141,7.43403
5297,14.1343,14.0928,7.38272
5298,14.2696,13.6533,7.52932
5299,14.5311,13.6326,8.37045
5300,14.8241,13.3994,7.74991
5301,14.7405,14.188,8.1776
5302,15.0339,14.9119,8.57757
5303,15.172,13.2253,9.12628
5304,14.5645,13.9493,9.87656
5305,14.639,12.8426,9.67338
5306,14.018,12.8219,9.65286
5307,13.8705,12.2609,9.1997
5308,14.507,12.8548,9.17966
5309,13.7456,12.1895,6.09485
5310,13.6096,12.8949,6.38755
5311,13.7879,12.737,6.4183
5312,13.1081,12.8779,7.28191
5313,12.7259,12.9578,7.17226
5314,13.2018,13.0503,7.62139
5315,13.7566,12.8932,7.7802
5316,13.6966,13.3233,8.36597
5317,13.9981,13.5972,8.70687
5318,14.244,14.1226,9.44238
5319,14.9449,14.447,8.41444
5320,15.4451,14.789,9.22454
5321,15.813,14.7147,8.1934
5322,16.4612,14.6911,7.34225
5323,16.6775,14.6172,7.27888
5324,15.2053,14.2804,7.02831
5325,14.6599,12.4984,7.79895
5326,14.3409,12.7872,7.55511
5327,14.223,12.5393,8.18838
5328,14.059,12.5807,8.86953
5329,14.1546,12.5375,9.26382
5330,14.2628,13.2373,7.22845
5331,14.8729,12.8925,7.72967
5332,14.522,12.3728,7.6591
5333,14.0153,11.7689,6.31426
5334,14.7306,11.9871,7.24076
5335,14.1671,12.0497,7.45901
5336,13.7491,12.5048,7.92521
5337,13.6649,12.6135,8.41858
5338,14.0187,13.2757,9.05761
5339,14.7362,12.8975,7.69772
5340,13.8063,13.5598,7.78292
5341,13.828,12.7132,8.17805
5342,13.4912,12.7279,7.85761
5343,13.9645,13.1387,7.93711
5344,13.6936,13.4095,7.87894
5345,13.9782,13.6176,8.27263
5346,14.2381,13.3956,8.07278
5347,14.1575,12.9017,8.92404
5348,14.9192,13.283,7.66761
5349,15.6262,13.1698,7.83112
5350,13.3099,12.3787,7.9766
5351,13.8845,11.7764,8.76667
5352,13.3369,8.25646,9.55019
5353,10.4218,9.04968,8.45278
5354,9.89287,9.31067,8.33727
5355,10.1426,8.69081,9.10503
5356,10.2169,8.9237,8.23009
5357,10.6849,9.43439,7.40488
5358,11.1954,9.77067,7.63198
5359,10.7804,10.2948,8.11054
5360,11.3363,10.6865,7.96076
5361,12.1558,11.023,8.69526
5362,12.6427,10.9948,9.36233
5363,12.727,11.447,8.75159
5364,13.2141,11.0475,9.15145
5365,12.7607,11.6669,8.92905
5366,13.161,11.3558,7.506
5367,12.5919,11.1926,8.15264
5368,12.7414,11.8332,9.01819
5369,12.6631,11.8093,9.08218
5370,12.7787,11.7977,7.76129
5371,13.1962,11.9995,8.57042
5372,13.5971,12.4482,9.07598
5373,13.1637,12.7165,8.66817
5374,13.5326,12.8885,8.17751
5375,13.882,13.157,8.11645
5376,13.1917,13.1416,8.97615
5377,13.486,12.2727,8.48717
5378,13.4581,13.0739,9.03734
5379,13.4594,13.7616,8.97132
5380,13.6991,14.0972,8.55476
5381,13.6812,14.4968,7.90499
5382,13.7027,13.5758,8.29411
5383,14.2259,13.5801,8.43499
5384,13.3114,12.862,8.83135
5385,13.5426,12.8854,8.3809
5386,13.3503,13.0691,9.04268
5387,13.6182,12.9686,9.77135
5388,13.6992,12.9878,10.4332
5389,13.3787,13.2338,10.883
5390,13.4659,13.0637,11.0883
5391,13.4292,13.401,10.1137
5392,13.237,13.7084,9.9621
5393,13.0579,14.1101,9.02405
5394,13.3958,14.1697,8.64374
5395,13.9563,13.6881,8.13022
5396,14.2366,14.1097,8.15266
5397,14.3613,14.2862,7.93097
5398,13.4862,13.5234,8.54446
5399,13.2218,13.4608,8.8154
5400,13.4894,13.2507,9.33297
5401,13.5947,13.1718,9.15848
5402,13.9722,13.1744,9.6762
5403,14.3033,13.0291,9.22192
5404,14.4964,13.628,8.79444
5405,13.9107,14.2593,7.90458
5406,14.0642,13.5226,8.22398
5407,14.7233,13.4715,8.84263
5408,14.8789,13.8813,9.558
5409,15.4615,13.2355,8.92806
5410,15.6173,13.2035,7.84774
5411,14.872,12.7527,8.42691
5412,15.5314,12.8482,7.99602
5413,15.7874,12.973,8.05236
5414,15.9438,13.6845,8.93747
5415,15.394,12.5909,8.42225
5416,14.7527,12.2707,7.41192
5417,15.0384,12.9022,7.35704
5418,13.3734,11.939,7.47868
5419,13.4547,12.2083,6.94337
5420,14.2583,12.3508,6.89627
5421,13.4809,12.722,7.44331
5422,14.1367,12.5046,7.68601
5423,15.0711,12.0949,7.62679
5424,13.9358,12.5313,8.26182
5425,14.4735,13.3879,8.53981
5426,14.8155,14.2778,8.2884
5427,14.4636,14.1939,7.81565
5428,14.0628,12.9678,8.04262
5429,14.6961,13.7575,8.75711
5430,13.7016,13.5861,8.4932
5431,14.3965,12.6718,8.85218
5432,14.0423,12.7568,8.27407
5433,13.9714,13.0833,8.82439
5434,14.2425,13.4787,9.6016
5435,13.4916,13.9214,8.95245
5436,13.9496,13.2555,9.15764
5437,13.6276,12.8655,8.51384
5438,14.5363,13.1458,9.08897
5439,13.735,12.9303,8.49201
5440,13.7455,12.8226,8.54937
5441,14.3697,12.1902,8.5037
5442,14.5303,12.5925,8.29473
5443,14.5616,12.2146,8.74163
5444,14.3306,12.7765,8.53553
5445,13.5046,12.6752,7.97177
5446,13.8075,12.4355,7.56567
5447,14.1712,12.8159,7.91184
5448,13.1868,13.053,6.91472
5449,12.6369,12.5879,4.82577
5450,12.1949,11.4483,4.56365
5451,12.0854,11.7653,4.79224
5452,12.4846,12.439,5.28741
5453,12.6615,12.2475,5.64073
5454,13.0207,12.6016,6.17952
5455,13.3496,12.5857,6.66447
5456,13.4843,12.2572,7.17939
5457,13.8437,12.037,7.82116
5458,13.1545,12.5699,7.54158
5459,13.438,13.308,7.96808
5460,12.974,13.2324,7.51699
5461,13.3974,13.7541,8.01495
5462,13.4338,13.3076,8.06142
5463,14.1584,14.23,8.59398
5464,14.2037,14.011,9.25271
5465,14.5646,12.6479,9.04078
5466,13.865,13.4714,9.32601
5467,14.2453,12.5888,8.24465
5468,14.9923,12.6062,8.82534
5469,15.339,13.0572,9.48436
5470,14.593,12.9717,9.22899
5471,14.48,13.6163,8.77408
5472,14.4557,13.4437,7.9849
5473,14.7506,12.638,8.71478
5474,15.2756,13.0783,8.86569
5475,14.6974,13.3318,9.02671
5476,15.1809,13.4726,8.86913
5477,14.9405,13.7742,7.94716
5478,15.4242,13.4669,8.03629
5479,14.2187,13.8685,8.60605
5480,14.1597,12.559,9.27226
5481,13.2028,12.8325,7.83693
5482,13.4228,13.3068,7.66095
5483,13.347,12.9716,6.06865
5484,12.4605,13.5076,6.85512
5485,12.627,13.1878,6.96358
5486,12.7896,13.8326,7.07237
5487,13.0931,13.2358,7.4992
5488,13.2743,13.3054,7.56726
5489,13.4667,12.4417,8.44547
5490,12.7822,13.2055,8.19172
5491,13.152,13.497,9.1203
5492,13.611,13.7484,9.59524
5493,14.2677,13.3363,8.76022
5494,13.9793,13.7926,9.13373
5495,14.64,14.3678,9.86828
5496,15.0528,13.2787,10.3844
5497,15.4466,13.1885,9.12245
5498,15.0796,13.3844,9.13126
5499,14.6705,13.4946,9.09353
5500,15.1546,13.885,9.5472
5501,14.3491,14.1395,9.83464
5502,14.6442,12.9786,9.84405
5503,15.0446,12.9546,8.68239
5504,15.7394,12.881,7.77002
5505,15.4926,12.5876,8.59572
5506,15.9222,11.9172,7.2275
5507,16.561,12.3364,7.10836
5508,16.6063,11.8646,7.34168
5509,15.1422,12.76,7.25228
5510,15.6215,13.5622,7.28794
5511,15.2812,13.3771,7.65901
5512,15.5274,13.0741,7.79007
5513,15.3649,13.0908,7.86122
5514,15.9072,13.1371,8.2649
5515,15.6589,13.5349,8.07209
5516,14.5106,13.7342,8.18074
5517,14.2445,13.8631,8.86837
5518,15.0126,13.8071,9.16591
5519,15.0514,12.4404,7.64028
5520,15.8702,12.9468,8.11194
5521,15.4321,13.2074,8.8867
5522,14.904,12.9975,9.51707
5523,13.403,13.5253,9.18408
5524,13.5654,13.6333,8.01061
5525,14.1725,13.8484,8.64124
5526,14.0024,14.1291,8.81947
5527,14.1447,14.8995,8.48761
5528,13.4305,14.9455,8.43081
5529,13.8541,12.3797,7.8858
5530,14.4701,12.6447,8.41019
5531,13.5948,11.8871,2.33615
5532,13.8497,10.8542,2.9877
5533,12.1322,10.7412,3.16763
5534,12.4327,11.1794,3.56277
5535,12.7617,11.6295,4.20304
5536,13.2835,12.2155,5.02748
5537,13.6127,13.0558,5.3686
5538,13.7046,13.1358,5.88458
5539,13.1694,12.408,6.38163
5540,13.3091,12.9089,5.416
5541,12.7605,13.3116,5.85411
5542,13.1332,13.3922,6.68212
5543,13.667,13.2068,7.21117
5544,14.309,12.5305,7.70413
5545,14.6635,13.1152,7.09877
5546,14.9779,13.7781,6.89159
5547,13.3368,13.6181,7.3093
5548,13.8311,13.6691,7.12074
5549,14.2385,14.1054,7.35945
5550,14.3924,14.1872,7.6532
5551,14.8111,14.5604,7.47062
5552,15.328,13.7463,7.85534
5553,13.5397,14.5869,8.40191
5554,13.838,15.2057,8.82237
5555,13.847,14.4872,8.84331
5556,13.4506,13.825,8.2674
5557,13.6064,13.8379,8.57797
5558,13.7036,14.0074,7.68289
5559,13.8698,14.2613,7.85705
5560,14.1859,14.6546,8.55992
5561,14.65,15.098,9.34007
5562,13.768,15.2757,10.0488
5563,14.4485,15.4083,10.7215
5564,13.87,15.0603,10.5879
5565,13.5077,14.152,9.50677
5566,14.2432,14.4248,10.4813
5567,13.4985,14.4058,10.679
5568,14.0838,14.1478,11.5988
5569,14.6569,13.3097,11.6285
5570,15.3925,12.87,11.5273
5571,13.6364,13.1061,11.2514
5572,13.8401,13.4326,9.49337
5573,13.6195,13.061,7.48403
5574,13.7286,13.6259,7.75387
5575,13.8257,14.1404,7.36891
5576,13.7638,14.8329,8.02712
5577,13.7695,15.398,8.39012
5578,14.5687,13.9685,9.33355
5579,14.7255,13.5321,7.58645
5580,14.3209,14.0257,8.05573
5581,14.478,13.17,7.4427
5582,14.6442,13.0177,7.32476
5583,14.6287,13.6271,7.39797
5584,13.7634,13.8831,7.2262
5585,13.9593,12.5599,7.35498
5586,13.5793,12.0342,8.1402
5587,13.6987,12.2133,8.25776
5588,13.3527,12.57,8.62091
5589,13.9995,13.3163,8.42064
5590,14.2149,12.8599,8.33
5591,14.9173,11.8,2.74374
5592,12.5491,8.66032,3.04437
5593,8.96194,8.75842,3.82859
5594,9.25936,9.40673,2.84547
5595,9.54908,9.70198,3.04202
5596,10.1845,10.229,3.53176
5597,10.4052,10.1838,4.14733
5598,10.7714,10.7174,5.07286
5599,10.9213,11.6226,5.8314
5600,11.8064,11.4474,5.56339
5601,12.3605,12.3909,6.10286
5602,11.8072,12.1286,6.86149
5603,11.778,12.5513,6.34618
5604,11.4987,12.5081,6.3488
5605,11.6666,12.0052,7.10754
5606,11.9333,12.495,6.94285
5607,11.9049,12.4374,7.35367
5608,11.8272,12.2514,7.28174
5609,12.49,13.0566,7.75773
5610,12.8701,12.2585,7.88549
5611,13.2441,12.8006,7.71213
5612,13.5022,12.6677,8.47111
5613,13.9502,13.2669,7.95807
5614,14.1517,13.226,7.57859
5615,13.6336,12.6734,8.49387
5616,13.4577,12.7135,9.29161
5617,14.013,12.6421,8.36755
5618,13.818,13.1569,9.02291
5619,14.2585,13.3162,8.00784
5620,13.9072,13.2518,8.60329
5621,14.314,13.4328,7.50786
5622,13.5523,12.7186,7.5637
5623,13.5579,12.5286,6.48711
5624,13.9957,13.3321,7.42649
5625,14.5197,14.0092,7.8209
5626,14.7128,13.792,7.91269
5627,15.0777,14.5324,8.9102
5628,15.271,15.176,9.42296
5629,14.8388,16.0723,10.299
5630,15.2462,15.5336,11.2022
5631,15.6712,15.9514,11.6548
5632,16.0788,16.4926,12.3112
5633,15.2162,17.1586,12.8536
5634,15.6421,13.1703,8.71325
5635,14.6932,13.3991,8.76067
5636,14.0858,13.2414,9.25654
5637,14.3068,13.1534,9.88831
5638,14.7337,13.4998,10.0032
5639,14.7082,13.6899,10.1769
5640,15.1421,13.3265,9.71102
5641,14.1631,13.5879,9.35672
5642,14.2714,14.1294,9.71618
5643,13.994,14.9778,9.85408
5644,14.7926,14.5402,10.3499
5645,15.5982,14.4893,10.7134
5646,16.4076,13.2592,11.0754
5647,15.843,13.1418,11.4391
5648,15.4793,13.0862,11.7017
5649,15.6242,13.606,11.2228
5650,15.3926,13.9989,10.9243
5651,14.4071,14.3428,8.35372
5652,14.7428,13.8523,8.57834
5653,13.6448,13.0525,8.90308
5654,14.2033,13.7213,9.38938
5655,14.0999,13.3515,9.73296
5656,14.4524,12.948,9.04719
5657,13.7438,12.4567,7.77802
5658,14.259,12.7152,8.04434
5659,14.8959,12.5681,8.0054
5660,15.1093,11.9481,8.7435
5661,15.7601,12.3075,8.65155
5662,15.825,12.8515,8.16732
5663,14.0086,12.2311,9.07508
5664,13.4677,12.136,9.31973
5665,14.0236,12.247,9.52495
5666,13.5852,12.2074,9.9444
5667,13.5171,12.5311,9.44832
5668,13.6183,12.058,8.76233
5669,13.8493,12.6174,6.7493
5670,12.8832,12.0594,6.63536
5671,13.3699,12.8823,7.42039
5672,13.3518,13.636,7.56349
5673,13.7263,14.4589,8.39631
5674,13.5845,14.0972,9.30195
5675,13.91,13.6331,8.33158
5676,13.5904,14.0066,8.87216
5677,14.1132,14.3044,7.87635
5678,14.8775,12.598,8.4703
5679,15.3415,13.0121,8.33073
5680,15.6637,12.7883,8.9709
5681,15.4212,13.0926,9.12253
5682,16.3614,13.099,9.04742
5683,16.5436,13.0753,9.37638
5684,14.7546,13.0646,9.62012
5685,14.2305,13.7152,8.01374
5686,14.5351,13.8767,8.06543
5687,14.3971,13.269,8.06198
5688,14.4443,13.8596,7.63232
5689,14.8975,14.6136,8.00308
5690,14.3703,13.4901,8.01109
5691,14.5316,13.3041,8.21582
5692,13.9719,13.1951,8.89011
5693,14.7398,12.5857,9.45093
5694,15.278,13.196,9.49158
5695,14.6885,12.9541,10.0525
5696,14.6704,13.4936,9.41807
5697,14.2457,13.2509,9.87762
5698,15.0445,13.6429,9.95376
5699,13.9434,14.2129,10.2304
5700,13.819,14.7281,10.2969
5701,14.2095,15.0861,10.2881
5702,14.0691,15.1242,10.9
5703,14.751,14.4652,9.21426
5704,15.1535,13.7033,10.1183
5705,14.4122,14.0922,9.51056
5706,14.0737,14.4422,9.56585
5707,14.5429,14.5344,10.3747
5708,13.8957,14.5969,10.079
5709,14.4506,14.5002,9.47239
5710,14.918,13.5547,8.92194
5711,15.346,14.0447,8.31835
5712,12.8555,14.7205,8.10072
5713,13.5375,14.8162,7.4017
5714,14.0606,13.1723,8.12846
5715,13.9392,12.479,8.0007
5716,13.8465,12.0046,6.878
5717,13.5363,12.1412,4.86809
5718,13.3899,12.0373,5.53503
5719,13.434,12.4887,4.90681
5720,13.7248,13.3463,5.53222
5721,14.585,13.8355,6.04593
5722,14.4306,13.874,6.46328
5723,14.0541,13.3851,6.04425
5724,14.1674,12.8985,6.93222
5725,15.1074,12.9377,7.0383
5726,14.5799,12.2808,6.74917
5727,14.125,12.7221,7.36041
5728,13.5808,12.418,7.55946
5729,13.8185,12.4838,7.45073
5730,14.1788,13.1112,8.04631
5731,13.972,13.4829,8.35507
5732,14.0421,13.4736,8.9938
5733,13.9418,14.4137,9.28652
5734,14.4964,14.3512,9.30141
5735,14.6089,13.2731,8.41812
5736,14.1207,13.7338,8.42992
5737,13.9041,13.9319,7.86394
5738,13.9961,14.6316,7.87426
5739,14.4888,13.506,7.62338
5740,14.3298,14.0203,7.71791
5741,13.5326,14.0811,7.67269
5742,13.4431,13.8424,8.19045
5743,13.5288,13.8347,8.10732
5744,14.2148,13.8464,8.05343
5745,14.4074,13.9181,8.6604
5746,14.5259,14.1784,7.98649
5747,13.3541,12.3453,7.75292
5748,13.5505,12.2217,7.31198
5749,12.919,12.5381,3.05151
5750,12.7094,12.1173,2.46244
5751,10.2122,12.0236,3.01809
5752,10.8054,12.4458,2.74796
5753,11.1405,13.1669,3.55203
5754,11.5722,13.532,3.66071
5755,11.5548,14.2531,3.75805
5756,12.0095,14.553,4.39779
5757,12.3448,14.2394,4.7361
5758,12.7769,12.255,5.65726
5759,11.7849,11.4753,5.605
5760,12.0395,11.9578,6.49741
5761,12.0371,12.7824,6.35188
5762,12.2941,12.789,6.55076
5763,12.6923,12.8714,7.02067
5764,13.5255,12.6001,7.36644
5765,13.4988,12.6073,7.76724
5766,14.1112,12.6902,7.50966
5767,14.4546,12.5725,6.64645
5768,14.7726,12.552,6.93942
5769,14.1742,12.6353,7.34
5770,14.1551,12.735,7.5441
5771,14.3489,13.2688,8.18732
5772,13.8635,13.5256,7.61296
5773,13.746,13.6348,7.69506
5774,13.8389,14.265,7.83767
5775,14.3701,13.6765,8.00165
5776,14.5944,13.334,8.2038
5777,15.3515,13.2276,8.65648
5778,14.3562,13.2545,8.82805
5779,13.7523,13.514,8.13464
5780,13.8072,12.8737,8.9851
5781,14.0329,12.4166,8.74264
5782,13.4793,12.8489,8.87061
5783,14.3599,13.2768,7.48072
5784,13.7375,13.3123,7.94945
5785,13.3579,12.9389,8.32942
5786,13.4565,12.9411,8.22153
5787,13.392,13.4106,8.96305
5788,13.5616,12.6759,9.31062
5789,13.9085,12.6331,9.11427
5790,14.2451,13.055,9.00701
5791,14.4618,13.5924,9.09383
5792,14.4321,13.6977,8.98694
5793,13.3321,13.2437,8.92263
5794,13.3896,12.3694,8.81617
5795,13.5034,12.9459,8.85335
5796,13.6181,13.4998,9.14196
5797,13.5302,13.9939,8.60255
5798,13.9444,13.539,8.99473
5799,14.2641,13.2811,9.61713
5800,14.9895,13.8286,10.2154
5801,14.9512,13.6834,10.6655
5802,15.5817,14.1525,10.976
5803,15.4878,14.4729,11.4262
5804,15.4735,15.0228,9.64283
5805,15.7614,14.5245,9.44532
5806,15.776,14.8452,9.49847
5807,14.1869,15.3953,7.9756
5808,14.1436,14.9399,8.72608
5809,14.8682,14.6912,9.39475
5810,14.5388,14.2365,8.36316
5811,14.4839,13.6528,7.58497
5812,14.3048,14.1363,7.32628
5813,14.5055,13.4193,7.33268
5814,14.3268,13.4351,7.58226
5815,13.5917,13.3027,7.58629
5816,13.3709,13.1575,7.49598
5817,13.2785,13.0813,8.0093
5818,13.7702,12.5968,8.02935
5819,14.3492,12.8929,8.48496
5820,13.6609,13.574,8.20114
5821,13.9239,13.4306,8.60678
5822,13.9052,13.4182,7.72833
5823,14.3114,13.2815,7.1992
5824,14.3414,13.3494,7.29586
5825,14.2282,12.4629,7.39233
5826,14.6875,12.4433,7.46556
5827,13.8664,13.0253,7.53714
5828,14.3283,13.4035,8.44314
5829,14.9692,13.6109,9.01426
5830,15.2016,13.3764,8.46738
5831,15.596,13.5842,8.82051
5832,15.4387,13.639,8.89911
5833,15.4908,13.6498,8.23099
5834,15.5057,13.4996,8.76275
5835,15.5581,13.6497,9.13423
5836,15.7146,14.0952,8.7346
5837,16.0983,13.9455,7.76334
5838,16.3279,14.012,8.33483
5839,17.0974,14.0738,8.41495
5840,17.8808,14.81,9.05196
5841,17.1914,14.679,9.69011
5842,17.9496,15.2892,9.99906
5843,16.284,13.4523,9.6411
5844,14.4121,13.7903,8.99572
5845,14.5586,14.0027,9.00094
5846,15.2255,13.7459,8.64392
5847,14.4099,13.8983,7.94254
5848,14.139,13.869,7.82971
5849,14.3395,13.7387,7.7717
5850,14.4201,13.45,7.60075
5851,14.7309,13.2069,7.75133
5852,14.813,13.3673,8.35653
5853,13.7614,13.4701,8.70056
5854,14.2228,13.9554,8.6391
5855,13.6518,13.7848,8.91875
5856,14.3579,14.2703,8.75082
5857,14.4528,14.685,8.57696
5858,13.9265,14.557,8.75287
5859,14.6732,14.2413,8.8318
5860,14.1861,14.3117,8.24753
5861,14.1924,14.0367,8.39964
5862,14.3855,13.5196,8.47593
5863,13.5923,12.6896,8.35057
5864,14.0728,12.9311,8.61538
5865,14.5204,13.0893,9.06634
5866,14.302,13.3736,8.77361
5867,14.6041,13.8983,8.55567
5868,14.4282,12.8104,7.66929
5869,14.8399,13.2347,7.9036
5870,13.9961,13.5612,7.84016
5871,13.8173,13.6088,7.94815
5872,14.1707,13.6371,8.33246
5873,14.8269,13.5094,8.55109
5874,13.5219,14.2199,9.12558
5875,13.4123,14.2361,8.95312
5876,13.7741,14.5207,9.67722
5877,14.2476,14.2787,8.56963
5878,14.3521,13.4747,9.27118
5879,14.3915,12.3494,6.98382
5880,13.7435,12.0517,7.13486
5881,13.2932,11.3974,6.25524
5882,13.048,11.9084,6.2974
5883,13.2141,12.2265,6.6479
5884,13.1354,12.6195,7.38635
5885,13.337,12.9131,7.74086
5886,13.6964,13.4489,8.24967
5887,13.6114,13.7635,8.19834
5888,13.971,14.0037,8.01913
5889,14.3304,13.9407,8.34995
5890,14.6901,14.0524,8.61139
5891,13.8486,13.9389,9.09402
5892,14.5762,13.7878,8.37229
5893,14.9362,14.0215,8.49637
5894,13.5295,13.4374,8.66883
5895,14.1897,13.1114,8.65555
5896,14.9043,13.757,9.02455
5897,14.852,13.4628,8.31254
5898,14.6906,12.9039,8.31062
5899,14.3443,12.999,8.59628
5900,13.5696,12.7792,7.99661
5901,13.1713,12.443,7.69948
5902,13.6328,12.795,7.88751
5903,13.9424,13.3288,5.30308
5904,13.1041,13.231,5.66295
5905,13.6429,13.1736,5.95932
5906,13.7389,13.6811,6.31018
5907,13.7187,13.5838,7.05288
5908,14.3449,13.2065,6.52951
5909,14.9878,13.2509,6.79202
5910,14.3871,12.9445,6.87032
5911,14.0232,12.7778,7.0437
5912,14.12,13.2107,7.46022
5913,14.1548,13.3331,6.79343
5914,14.247,13.5498,7.66501
5915,14.7285,13.202,7.82165
5916,14.349,13.3548,8.05594
5917,14.2068,13.3154,8.2514
5918,15.1161,13.4117,8.43673
5919,15.6341,14.0507,7.98723
5920,14.7898,13.9368,8.23005
5921,14.8383,13.4832,8.15973
5922,15.1731,13.2911,8.023
5923,15.1958,13.6265,8.7517
5924,14.6953,14.1824,8.65462
5925,13.7375,12.587,9.06499
5926,13.4244,11.9631,8.74667
5927,13.6048,12.2082,6.83412
5928,14.0177,12.5706,6.90551
5929,14.1744,12.679,7.29763
5930,14.113,12.3833,7.50331
5931,14.0136,12.1284,7.38067
5932,13.9376,12.3185,7.80917
5933,14.2169,12.9294,8.32161
5934,13.3193,12.8421,8.75022
5935,13.3387,12.8985,9.02928
5936,13.7362,12.6233,8.03239
5937,13.6297,13.076,8.62602
5938,13.6183,12.8765,8.27286
5939,13.4283,13.223,7.53812
5940,13.3426,13.5889,7.22586
5941,13.1571,14.2644,8.00497
5942,13.5987,14.6612,7.99899
5943,14.1157,15.3368,8.40751
5944,14.7607,15.3699,8.36566
5945,14.679,16.0455,9.07606
5946,15.1283,14.3468,8.73716
5947,15.0469,14.4671,9.65758
5948,14.0869,14.7554,9.37061
5949,14.8033,14.5166,7.88462
5950,15.4971,12.6574,7.59847
5951,15.2965,12.6262,7.80944
5952,14.2114,13.1931,6.78243
5953,12.511,13.7176,3.48246
5954,12.9243,9.83042,3.78286
5955,10.4937,10.3889,4.56153
5956,11.1378,10.5686,5.24988
5957,11.4507,9.91046,5.03612
5958,11.4317,10.4305,5.58494
5959,11.4631,10.8383,5.29326
5960,11.4953,10.3085,5.81525
5961,12.0346,10.4415,5.39793
5962,12.3595,11.1549,5.9571
5963,12.7774,11.77,5.45965
5964,12.4795,11.2899,5.43767
5965,13.008,11.889,6.14264
5966,13.5798,11.9512,6.09245
5967,14.3744,12.5462,6.83222
5968,12.7992,12.2035,6.92166
5969,12.6812,12.7688,7.02273
5970,13.2699,13.2768,7.93903
5971,14.0245,13.4453,8.01082
5972,14.5725,14.1143,8.18796
5973,14.6579,14.6798,8.06362
5974,15.0028,12.5566,7.38287
5975,14.1269,13.0729,7.85051
5976,14.7558,13.2545,7.54509
5977,15.6149,13.9637,8.03351
5978,14.8357,14.419,7.85327
5979,13.8704,15.0922,8.29585
5980,14.2975,15.6886,8.05693
5981,14.3292,13.6663,8.56817
5982,13.7217,13.9621,8.73917
5983,14.518,13.8265,8.30377
5984,13.9116,13.1441,8.2495
5985,14.5966,13.074,7.40399
5986,15.3254,11.805,7.45862
5987,14.4071,12.1434,6.04071
5988,14.8804,11.7415,6.52309
5989,15.671,11.8338,6.49333
5990,14.5592,12.2551,5.93148
5991,15.3499,12.602,6.41413
5992,15.2091,13.4221,6.33404
5993,15.4243,12.8897,6.87889
5994,15.5533,13.7456,6.84467
5995,16.1503,12.4015,6.22725
5996,15.5544,13.2109,6.7336
5997,14.1851,12.779,6.52999
5998,14.8468,12.9194,6.90319
5999,15.4344,13.0397,7.35482
6000,14.6704,13.2055,7.95961
6001,14.6961,13.9538,8.08009
6002,15.1358,13.8544,7.71297
6003,14.4184,13.5244,7.85396
6004,14.4419,13.0677,8.3173
6005,14.6327,12.7209,8.45408
6006,14.9563,13.4984,8.12646
6007,15.0214,13.5434,7.25376
6008,14.8109,12.3266,7.38037
6009,13.9151,12.1864,7.35764
6010,14.2988,12.656,7.09362
6011,14.236,12.0861,6.88858
6012,12.858,12.4866,7.47254
6013,11.8583,12.7998,7.26999
6014,12.7002,12.5485,7.87904
6015,12.5503,12.9748,8.36783
6016,13.3797,13.3687,7.56443
6017,14.0054,13.835,7.40584
6018,13.6436,14.2996,8.15915
6019,14.2694,14.806,7.71012
6020,14.1065,14.7532,8.01938
6021,14.2402,14.8238,8.46642
6022,14.7173,14.8826,8.88259
6023,15.0231,14.6187,7.93342
6024,15.0518,14.6778,8.29472
6025,15.6277,14.2129,8.75524
6026,15.5714,13.1222,9.17177
6027,15.1286,13.8591,8.96236
6028,14.3453,13.6251,8.78402
6029,13.7346,13.7481,8.66072
6030,14.1922,14.4797,8.68727
6031,13.7717,15.0691,8.50957
6032,14.0847,14.9201,8.49172
6033,14.0954,14.254,7.91643
6034,14.5341,15.0047,8.35381
6035,14.9839,15.2692,8.85098
6036,14.9636,15.7271,9.21578
6037,14.6136,15.9917,8.82225
6038,14.4636,15.3459,9.5609
6039,14.975,15.287,9.11965
6040,14.9335,15.5531,8.76033
6041,14.9227,15.8182,9.31591
6042,15.593,15.723,9.26994
6043,14.2463,15.9883,10.0969
6044,14.5577,15.5086,9.85739
6045,14.3141,15.7742,10.7338
6046,14.9466,13.3292,10.294
6047,15.0045,13.6203,9.7975
6048,14.9008,13.9872,9.89235
6049,14.6579,13.7081,8.28191
6050,14.2589,14.2633,8.11147
6051,13.1191,13.2432,7.52889
6052,13.2986,12.8519,7.39902
6053,12.7503,12.4176,6.39649
6054,12.154,12.7788,6.78262
6055,12.2836,13.438,6.79473
6056,12.4998,13.6541,7.12358
6057,13.0401,13.7209,7.7555
6058,13.3323,13.7979,7.80133
6059,13.4897,13.9601,8.41829
6060,14.1118,13.3383,7.40246
6061,13.218,14.2153,7.31658
6062,13.6333,14.3371,7.82797
6063,13.3724,14.4998,8.26731
6064,13.458,13.1458,8.29154
6065,13.1564,13.5983,8.67488
6066,13.4696,13.6524,8.91762
6067,13.425,13.6551,9.47047
6068,13.7735,13.8333,9.54104
6069,14.0858,13.2213,9.55498
6070,14.2423,12.539,9.51124
6071,13.9912,12.6964,9.52551
